rank;id;tweeter;tweeterid;time;text;replies;reposts;likes;views;query;datetime;Hate Score;Hate Threatening Score;Self-Harm Score;Sexual Score;Sexual Minors Score;Violence Score;Violence Graphic Score;position
11;a1d6ee5c35f23bac;ee4913e37156b17b;5b18a3a2e9ebe049;2024-10-03T07:32:00.000Z;Ik ben zo’n 70 jaar geleden in Schoten geboren en kan me niet herinneren dat het ooit van ‘hun’ is geweest. Vraag ik aan VB-gezinde medekiezers wat die lijn dan wel bedoelt, dan gaat het unaniem over tram3 die vol ‘vreemdelingen’ zit. Benieuwd of dit aanslaat.;58.0;8;108;31K;vreemdelingen;2024-10-04 12_38_17.294265;0.026193516328931;0.000052016512200;0.000765959906857;0.000379458157113;0.000121043507534;0.084984041750431;0.000268576521194;1. Against immigration, migrants, foreigners, refugees, or Muslims.
12;d97b59ac5740fb47;ebdbc0897f54a25f;b2a6e389650725e1;2024-09-30T15:00:01.000Z;"Voor het stadsbestuur tellen enkel de toeristen, vreemdelingen en linkse loftbewoners.

Enkel het Vlaams Belang komt op voor de gewone Gentenaar, of hij nu in 9000 of erbuiten woont.

Stem daarom op 13 oktober op het Vlaams Belang!";;1;11;144;vreemdelingen;2024-10-04 12_38_17.294265;0.139307275414467;0.000353937793989;0.000191093364265;0.000117514209705;0.000009201338798;0.029816349968314;0.000021942816602;1. Against immigration, migrants, foreigners, refugees, or Muslims.
13;7dd8710b04afb5d7;114c0ac0f65611c9;3ee2396091755a11;2024-09-21T16:21:15.000Z;"Waarom de PVDA en Jos D'Haese een verbijsterende 24% halen in Antwerpen?

Omdat Joske en zijn vriendjes met tolken van deur tot deur gaan en de onaangepaste vreemdelingen daar nog meer geld en voordelen beloven";19.0;58;233;3,6K;vreemdelingen;2024-10-04 12_38_17.294265;0.131616279482841;0.000136120419484;0.000062204533606;0.000209418532904;0.000206243828870;0.011572376824915;0.000847225834150;1. Against immigration, migrants, foreigners, refugees, or Muslims.
14;3a99480062e157fe;34db91fc798c8192;002c3c876290666b;2024-09-23T11:33:21.000Z;Waarom geven we geen woningvoorrang aan Nederlanders, in plaats van aan vreemdelingen? #FVD;52.0;342;1,3K;27K;vreemdelingen;2024-10-04 12_38_17.294265;0.044299788773060;0.000040803075535;0.000000633005470;0.000026628100386;0.000057613397075;0.003979761153460;0.000540100620128;1. Against immigration, migrants, foreigners, refugees, or Muslims.
15;eed77c1fe0b0ce0a;8420fa65ebfb5b58;6fdd1b7c6616dd9f;2024-09-29T16:24:26.000Z;"Ook radicaalrechtse winst in Oostenrijk. Niet heel onverwacht; bescheten berglanden staan sowieso niet bekend om hun liefde en openheid voor vreemdelingen en vreemde dingen. Maar wel akelig, ook daar de winst, groter dan verwacht. Europa gaat echt niet lekker...";;;;46;vreemdelingen;2024-10-04 12_38_17.294265;0.278504550457001;0.000108080486825;0.000108947388071;0.000159249568242;0.000016750183931;0.073089160025120;0.001379221328534;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
16;d423e39f4771cd3c;283c37ae9868ad0b;11f4919d0b746281;2024-09-30T07:27:50.000Z;"Stopt het ooit om de mensen uit te persen en de tieners te veronnozelen ?????  
We betalen al in onze belastingen voor goede doelen, ngo's, vreemdelingen, vluchtelingen, media, arme landen, klimaat, VN, WHO, EU, WEF, en nog vele andere zaken waar we nooit verandering in zien.";2.0;8;14;163;vreemdelingen;2024-10-04 12_38_17.294265;0.101167537271976;0.002256333129480;0.000398767529987;0.110066808760166;0.041593763977289;0.486187100410461;0.002374771982431;1. Against immigration, migrants, foreigners, refugees, or Muslims.
17;2233b6146cee16e7;c32592d511a78e96;495f2c9f2230f006;2024-09-25T15:35:31.000Z;Loop de lift uit, en zie dat Diederik Boomsma aan het woord is in het debat over het vreemdelingen- en asielbeleid. Heel belangrijk dus ik plaats zijn bijdrage als ik in de trein zit. #NSC #TweedeKamer;;;8;1,5K;vreemdelingen;2024-10-04 12_38_17.294265;0.006395937409252;0.000003001709274;0.000178011934622;0.000050636994274;0.000023697237339;0.004322561435401;0.000122697514598;5. Is neutral.
18;657916463c3381de;f556575a99cd2315;9893776510ae24db;2024-09-12T10:48:42.000Z;"Toen begin jaren ‘50 Nederlanders (boeren) wilden verhuizen van elders naar de Noordoostpolder werd er door rijksambtenaren streng geslecteerd. 
Om het minste of geringste werden mensen afgewezen.
Hoe anders is dat nu. 
Vreemdelingen worden met gemak tot ons land toegelaten:";99.0;190;784;47K;vreemdelingen;2024-10-04 12_38_17.294265;0.008030482567847;0.000001542462769;0.000014322347852;0.000018004522644;0.000007197688319;0.001545076491311;0.000138222327223;1. Against immigration, migrants, foreigners, refugees, or Muslims.
19;0012cd101da8b165;e616befbe0734d74;aa2e9ea05bfd85f9;2024-10-01T19:43:21.000Z;"Reinette Klever wilde aandacht voor ‘aantallen en verwachte kosten’. Haar collega’s zetten vervolgens hun handtekening onder een paar wilde slagen in de lucht. 

In het kabinet-Schoof is alles geoorloofd om vreemdelingen buiten de deur te houden.";1.0;1;7;387;vreemdelingen;2024-10-04 12_38_17.294265;0.069219961762428;0.000170213694218;0.000871741794981;0.000144737699884;0.000026965597499;0.027581011876464;0.000673950882629;1. Against immigration, migrants, foreigners, refugees, or Muslims.
20;c742b0cd686825cc;2536b7c1545ad6a2;55bbaaba895e571b;2024-10-01T18:52:58.000Z;'In het kabinet-Schoof is alles geoorloofd om vreemdelingen buiten de deur te houden', aldus @gerardbeverdam in het commentaar van het ND over de niet ingeloste ereschuld richting Afghaanse bewakers.';1.0;11;8;2,4K;vreemdelingen;2024-10-04 12_38_17.294265;0.022686589509249;0.000153905712068;0.000017436002963;0.000063516490627;0.000156580514158;0.012711518444121;0.000568981980905;1. Against immigration, migrants, foreigners, refugees, or Muslims.
21;0c0a1d8414ddb947;d30497be67d81971;40c1559fd8952551;2024-10-02T09:58:56.000Z;Rotterdam eerste stad die opvang ongedocumenteerde vreemdelingen beëindigt;;2;4;83;vreemdelingen;2024-10-04 12_38_17.294265;0.148167997598648;0.001308147097006;0.000690049026161;0.000208980913157;0.000121717937873;0.145442485809326;0.000692150730174;5. Is neutral.
22;a856f0ecf2ab0211;d4b40926d553a746;76803c8ff3cbaf36;2024-09-25T14:12:08.000Z;"Klopt. Wij kunnen deze aanhoudende toestroom niet aan. Je ziet het pas als je eigen kinderen willen uitvliegen maar achteraan de wachtrij blijven staan omdat er wekelijks 800/900  mogen voordringen.

#GrenzenDicht voor ongewenste vreemdelingen.";;2;6;199;vreemdelingen;2024-10-04 12_38_17.294265;0.037981174886227;0.000163214412168;0.000023290220270;0.000054596934206;0.000135118840262;0.020961398258805;0.000057568257034;1. Against immigration, migrants, foreigners, refugees, or Muslims.
23;c6352e291e654eb2;4d9ac365666c6097;5ba1346eb3945fb3;2024-10-02T08:53:01.000Z;Rotterdam eerste stad die opvang ongedocumenteerde vreemdelingen beëindigt;;1;3;29;vreemdelingen;2024-10-04 12_38_17.294265;0.148167997598648;0.001308147097006;0.000690049026161;0.000208980913157;0.000121717937873;0.145442485809326;0.000692150730174;5. Is neutral.
24;2a1bae90a5e16c4a;41f0dae57fff6926;079baa5697523ce9;2024-10-03T09:03:43.000Z;Met stopzetten Landelijke Vreemdelingen Voorziening zakt Rotterdam door morele ondergrens;;2;7;136;vreemdelingen;2024-10-04 12_38_17.294265;0.252430438995361;0.001377442618832;0.003142492379993;0.000361868325854;0.000270144897513;0.089710362255573;0.000667857879307;1. Against immigration, migrants, foreigners, refugees, or Muslims.
25;9d873983ef6a7ab1;8d742e21c7e294be;40132973183f59fc;2024-09-29T10:50:57.000Z;Misschien is beter om politieke tegenstanders te bemoedigen in plaats van te bekritiseren. Een poging, beste PVV'ers. Wees niet zo ongerust over asielzoekers. De meeste asielzoekers willen gewoon hier werken en een vredig leven. Probeer anderen, vreemdelingen, te vertrouwen!;2.0;;5;115;vreemdelingen;2024-10-04 12_38_17.294265;0.021792044863105;0.000023634675017;0.000017224014300;0.000039416114305;0.000018796308723;0.002947569126263;0.000008911342775;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
26;2e1fe5c98efe4b0e;9fe121aceaaa1450;098e90a22fad3a2f;2024-10-02T14:50:47.000Z;Rotterdam eerste stad die opvang ongedocumenteerde vreemdelingen beëindigt;11.0;13;108;1,7K;vreemdelingen;2024-10-04 12_38_17.294265;0.148167997598648;0.001308147097006;0.000690049026161;0.000208980913157;0.000121717937873;0.145442485809326;0.000692150730174;5. Is neutral.
27;e56f0600940666a6;f95cc1725e01925b;fb8c93b87ace0e93;2024-10-02T20:37:03.000Z;Leerkrachten steunen door vreemdelingen een flutbedrag af te pakken als ze hun kinderen het beheersen van het NL ontzeggen (en zo ook hun toekomstige kansen), noem jij extreemrechtse nationalistische onzin?  Wat voor achterlijk crapuul zijn jullie toch vd groene sekte! Geen;1.0;1;14;230;vreemdelingen;2024-10-04 12_38_17.294265;0.225343272089958;0.000066451437306;0.000020628005586;0.002566740848124;0.001091836369596;0.023109599947929;0.000522801827174;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
28;478c3d4cbd05a938;53bf49f3207c4c5a;231602709cf65c4d;2024-09-28T16:49:46.000Z;"Ongewenste vreemdelingen en dan met name alleenstaande mannen afkomstig uit Marokko, Syrië en Algerije kunnen binnenkort flink hogere cash vertrekpremie krijgen wanneer ze teruggaan naar huis.

Makkelijk geld voor een snel retourtje dus.

#asielcrisis #vertrekbonus #asielcrisis";25.0;21;82;1,9K;vreemdelingen;2024-10-04 12_38_17.294265;0.017839703708887;0.000211353879422;0.000317904370604;0.000044946034905;0.000010191434740;0.001343751559034;0.000051347182307;1. Against immigration, migrants, foreigners, refugees, or Muslims.
29;eada2e42490676c6;9fe121aceaaa1450;098e90a22fad3a2f;2024-09-26T07:00:00.000Z;"""Niet de terroristische aanslag onder de Erasmusbrug was een nare daad. Nee. Politici die het mogelijk maken dat vreemdelingen en hun nazaten hier moord en islam zaaien, plegen nare daden.""

Lees nu meer!";1.0;34;96;1,1K;vreemdelingen;2024-10-04 12_38_17.294265;0.363567650318146;0.000031579726055;0.000013349629626;0.000189012891497;0.000045932589273;0.246075972914696;0.001594883739017;1. Against immigration, migrants, foreigners, refugees, or Muslims.
30;7bfdb762f8c46fab;05c9285d581fd23e;6bd395f24c7aeda9;2024-09-25T15:12:34.000Z;WOENSDAG LIVE: Vanaf 17.15 uur tweeminutendebat Vreemdelingen- en asielbeleid, te zien op televisie (kanaal 83) en online https://npo.nl/start/live?channel=NPO+Politiek+en+Nieuws…;;5;2;3K;vreemdelingen;2024-10-04 12_38_17.294265;0.002858464606106;0.000003299769787;0.000022380198061;0.000011616589290;0.000108422456833;0.007874869741499;0.000140309304697;5. Is neutral.
31;1b53455d4ed464b0;3c9b6802d31a5b67;71ed8f0371d1a282;2024-10-04T12:01:45.000Z;Misschien moet @MinisterAenM werken aan het strafbaar stellen van onderdak aanbieden aan illegale vreemdelingen. Uitgeprocedeerd is opzouten!!;;;3;15;vreemdelingen;2024-10-04 12_38_17.294265;0.364662796258926;0.000366654567188;0.000010510018910;0.000047568377340;0.000120601689559;0.060435988008976;0.000067882079748;1. Against immigration, migrants, foreigners, refugees, or Muslims.
32;9a4205fda436a2df;f5db707c12d25f5e;b9ea28ed45dde016;2024-09-26T18:40:18.000Z;Ronald de Boer bij Ziggosport: ”De achterhoede is een vreemdelingen legioen.” Rensch, Baas en Hato zijn eigen jeugd ouwe pik.  #Ajax #ajabes #EuropaLeague;;;3;549;vreemdelingen;2024-10-04 12_38_17.294265;0.066028542816639;0.000085488311015;0.000009217912520;0.028298551216722;0.006981736980379;0.005210574250668;0.000328422669554;5. Is neutral.
33;aef9b49c4f30d51a;dde65537e0bf0914;f19532eaed269cf8;2024-09-27T16:59:21.000Z;"Hangt ervan af welke vliegen je wil vangen.
Scoren met de straffe uithangen tegen 'vreemdelingen'.";;;4;169;vreemdelingen;2024-10-04 12_38_17.294265;0.018071303144097;0.001133705023676;0.000196356675587;0.002500837668777;0.000019400225938;0.416933149099350;0.000240029679844;1. Against immigration, migrants, foreigners, refugees, or Muslims.
34;1579b20da85322b8;67108926a031d3bd;4beca5d0a0479c1c;2024-10-02T17:56:16.000Z;Sinds wanneer kunnen agenten beslissen wat en wie ze beschermen. Politiek, politie, leger en onderwojs MOGEN NOOIT IN HANDEN VAN VREEMDELINGEN GEGEVEN WORDEN...;1.0;;3;30;vreemdelingen;2024-10-04 12_38_17.294265;0.215287372469902;0.000146698919707;0.000000610995301;0.000023904920454;0.000039545069740;0.048841495066881;0.000100697776361;1. Against immigration, migrants, foreigners, refugees, or Muslims.
35;365a1199e9b71f17;44597143c123b7f1;2d832b60a168d460;2024-10-02T08:27:29.000Z;"""Hoewel Rotterdam stopt, gaan Amsterdam en Utrecht in 2025 door met de regeling en zullen de kosten zelf betalen"" (nouja zelf?) 

Rotterdam eerste stad die opvang ongedocumenteerde vreemdelingen beëindigt 

https://nieuwrechts.nl/100242-rotterdam-eerste-stad-die-opvang-ongedocumenteerde-vreemdelingen-beindigt… @Kijkverder1";5.0;2;14;233;vreemdelingen;2024-10-04 12_38_17.294265;0.019651129841805;0.000113027672341;0.000038652993680;0.000066617918492;0.000092830785434;0.008397056721151;0.000257020903518;5. Is neutral.
36;edbba75a677138d6;4748d4c802a775e8;e5d622b65dc914c9;2024-09-29T16:35:22.000Z;Zeer goed nieuws voor vreemdelingen, asielzoekers, illegalen ,gelukzoekers;;;3;76;vreemdelingen;2024-10-04 12_38_17.294265;0.058782223612070;0.000013186958313;0.000044188644097;0.000136827831739;0.000019048164177;0.004778277594596;0.000082446909801;2. In support of immigration, migrants, foreigners, refugees, or Muslims.
37;00ecb595db5d4cb0;3827f915bd58929c;d91b89954f201965;2024-09-24T15:21:27.000Z;De PVV gaat echt 0 gevolgen ondervinden van het in de steek laten van de eigen kiezers. Zo lang de vreemdelingen haat maar wordt gekanaliseerd.;;;2;15;vreemdelingen;2024-10-04 12_38_17.294265;0.317727744579315;0.000226335076149;0.000059703463194;0.000053163625125;0.000042124916945;0.385912567377090;0.000539559579920;1. Against immigration, migrants, foreigners, refugees, or Muslims.
38;05d395b17dfbc92b;cb52fbfd099321c5;a11946768f307872;2024-10-04T02:31:13.000Z;Moest Guillaume eens cultureel verrijkt worden of geweest zijn, zou hij dan ook nog zo denken en pro vreemdelingen zijn …. Denk het niet.;;;1;56;vreemdelingen;2024-10-04 12_38_17.294265;0.017288796603680;0.000012048238204;0.000033229116525;0.000007119859674;0.000005996508207;0.009377397596836;0.000011314072253;1. Against immigration, migrants, foreigners, refugees, or Muslims.
39;3ade621cacd865b0;8a2b06647b29f6e4;6f4ea0ead8d86fd1;2024-10-02T12:37:23.000Z;Noodwet wordt 'm niet (zie coronaperiode). Moeten we niet willen. Wilders noemt het nu noodrecht. Volgens mij kan binnen de grenzen reeds veel (zie Zweden) en hoop ik dat Faber hier mee komt via spoedwet.;1.0;2;7;139;vreemdelingen;2024-10-04 12_38_17.294265;0.014433784410357;0.000188928912394;0.007804571185261;0.000170880288351;0.000217106164200;0.019638154655695;0.000180423230631;5. Is neutral.
40;58a3cf7a8748479b;8a067961e5908e57;c8c13893a8b33ccf;2024-09-26T07:45:03.000Z;"Ach daar hebben we Mr Patatoehead uit Pataya weer.
We zullen even ongevraagd 15 vreemdelingen jouw huis in sturen om daar te blijven. Gelieve ze ook even gratis van kost en jnwoning te voorzien. Hoe kan je daar nou op tegen zijn?";;;14;182;vreemdelingen;2024-10-04 12_38_17.294265;0.035672090947628;0.000004182757039;0.000002364905640;0.000953072565608;0.000199118177988;0.040599826723337;0.000079606703366;1. Against immigration, migrants, foreigners, refugees, or Muslims.
41;7676a5b906ee67f2;2aba5dd8596b2dc0;81fb013fd8a52694;2024-09-28T18:23:40.000Z;Priske oprotten en neem gelijk een zooi van dit vreemdelingen legioen mee #necFEY;1.0;;3;490;vreemdelingen;2024-10-04 12_38_17.294265;0.618648409843445;0.211730405688286;0.000036371689930;0.013202205300331;0.000108840227767;0.817748486995697;0.003456991165876;1. Against immigration, migrants, foreigners, refugees, or Muslims.
42;889bb193cb6e0298;2e0348192faa58fb;a69f1deac66ba6b2;2024-09-28T07:30:29.000Z;Zo moet het, een school staat voor onderwijs, ouders staan in voor hun kroost. Zowel voor voedsel als een correcte opvoeding. En ja, ingeval vreemdelingen, om hun AAN TE PASSEN AAN ONZE NORMEN! Dus ook de taal leren! Zodat hun pinocchio's later klaar zijn voor de arbeidsmarkt!;2.0;;7;134;vreemdelingen;2024-10-04 12_38_17.294265;0.027473473921418;0.000288674404146;0.000131712266011;0.000206209821044;0.000202802213607;0.020504580810666;0.000362509192200;1. Against immigration, migrants, foreigners, refugees, or Muslims.
43;02613a8ee1634225;050d350356937416;afc8560d6f107977;2024-09-25T10:30:57.000Z;Te veel geld? En xenofoob wanneer je tot de conclusie komt dat er geen ruimte (letterlijk) meer is voor de opvang van vreemdelingen?;1.0;;4;335;vreemdelingen;2024-10-04 12_38_17.294265;0.131370931863785;0.000082472222857;0.000040435854316;0.000139478783240;0.000007955962246;0.011266642250121;0.000744599266909;1. Against immigration, migrants, foreigners, refugees, or Muslims.
44;4626231f42930c1a;979ca6c94bf461d4;61aafa8faed2f187;2024-09-25T02:36:59.000Z;"O ja, als 'de vreemdelingen' maar gratis zorg kunnen krijgen!!
Politieker aanspreken, maar, best nog voor 13 Oktober!!";1.0;;2;268;vreemdelingen;2024-10-04 12_38_17.294265;0.026042018085718;0.001474845805205;0.005262823775411;0.000070413152571;0.000075095449574;0.124499306082725;0.000197697838303;1. Against immigration, migrants, foreigners, refugees, or Muslims.
45;b254bfe1842fd375;956eb90fb1e5e2b9;828a2196f69b7e01;2024-10-04T07:59:12.000Z;Hoezo vreemdelingen haat. Minister Faber wil mensen geen valse hoop geven. Voldoe je niet,dan volgt er een terug keer beleid. Dat heet duidelijkheid geven in het door links vertroebel land.;;1;1;24;vreemdelingen;2024-10-04 12_38_17.294265;0.165730834007263;0.000211383099668;0.000068968554842;0.000023535845685;0.000028600192309;0.123924441635609;0.000255203922279;1. Against immigration, migrants, foreigners, refugees, or Muslims.
46;00841f84756d85b7;9fe121aceaaa1450;098e90a22fad3a2f;2024-09-29T08:50:00.000Z;De Nederlandse overheid heeft de regeling voor de vertrekbonus van ongewenste vreemdelingen aangepast. Alleenstaande vreemdelingen die vrijwillig het land verlaten, kunnen rekenen op een hogere financiële tegemoetkoming dan voorheen.;28.0;9;21;1,3K;vreemdelingen;2024-10-04 12_38_17.294265;0.001619476941414;0.000083958162577;0.001056748675182;0.000003278193390;0.000007337157513;0.008269786834717;0.000367118016584;5. Is neutral.
47;1b97b0e489fcbbff;97f20361244c4584;e97ce61c5e070e92;2024-09-28T08:04:53.000Z;"TG: ""#Vertrekbonus uitgeprocedeerden asielzoekers flink omhoog: vliegticket en 2000 euro, maar dat is nog niet alles 

Alleenstaande vreemdelingen kunnen daardoor een flinke duit extra geld krijgen, als ze NL tenminste aantoonbaar verlaten..""";10.0;5;10;1K;vreemdelingen;2024-10-04 12_38_17.294265;0.003764458931982;0.000090586960141;0.000127471386804;0.000006436017429;0.000073414783401;0.007028219290078;0.000256175611867;5. Is neutral.
48;41ccce5539726ccb;00f4784753359004;db9d6bebb85ccab0;2024-09-29T18:05:49.000Z;"Het houdt pas op als racistisch geteisem weer terug is waar het hoort, in het riool, of beter, leert dat vluchtelingen en vreemdelingen mensen zijn.
Verder sluimert racisme al lang en is het nooit op een fundamentele wijze aangepakt. #FilosofieOpBasisschool";1.0;;3;63;vreemdelingen;2024-10-04 12_38_17.294265;0.344585001468658;0.000060980466515;0.000003941805517;0.000036131903471;0.000037160683860;0.017775110900402;0.000084222629084;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
49;93e1c66828086d96;2745c17f3ee532c1;08f1a19032fb2d0a;2024-10-04T05:54:12.000Z;Nog eens 200 miljard dollar voor Oekraïne  $ 2.500 per maand voor illegale vreemdelingen en $750 voor Amerikanen die alles verloren door orkaan Helene.;50.0;101;232;8K;vreemdelingen;2024-10-04 12_38_17.294265;0.003830110421404;0.000015258074200;0.000012067626812;0.000225119089009;0.000020015988412;0.027701368555427;0.001431481097825;1. Against immigration, migrants, foreigners, refugees, or Muslims.
50;974537e8b5b4ed7e;2658f96e60fa5608;a58d71e210cab070;2024-09-26T08:13:19.000Z;Of je het nou gewoon #Omvolking noemt, een zorgwekkende demografische ontwikkeling, of vervangingsmigratie...uiteindelijk blijft de strekking hetzelfde: steeds meer mensen maken zich terecht grote zorgen over de ongewenste vreemdelingen die ons land overspoelen. @GideonvMeijeren;;1;6;248;vreemdelingen;2024-10-04 12_38_17.294265;0.033587321639061;0.000153380795382;0.000036133766116;0.000027668858820;0.000003603051709;0.010395189747214;0.000120332420920;1. Against immigration, migrants, foreigners, refugees, or Muslims.
51;31fd9f399641dd1d;8612a4d05ac5db02;8690a144f64c1b05;2024-09-25T21:45:40.000Z;"Dit draadje laat heel helder zien dat het simpele verhaal van Faber dat asielzoekers ál onze voorzieningen laten vastlopen, níét klopt.
En het vertelt ook duidelijk hoe we aan de grote instroom van 'vreemdelingen' gekomen zijn.";;4;2;287;vreemdelingen;2024-10-04 12_38_17.294265;0.057894401252270;0.000015777068256;0.000014017740796;0.000011682090189;0.000012607584722;0.018438620492816;0.000402107485570;3. Against those that oppose immigration or are negative towards migrants, foreigners, refugees, or Muslims.
52;295f09a3afb817ce;67108926a031d3bd;4beca5d0a0479c1c;2024-09-28T15:44:12.000Z;Ik heb eerlijk gezegd nog niks in de bus gehad. Maar alle vreemdelingen hebben hier wel keigrote affiches hangen van vreemdelingen bij de sossen en groen de idioot die ooit beslist heeft dat vreemdelingen beslissen hoe de autochtone burger moet leven mogen ze van mij...;;1;2;40;vreemdelingen;2024-10-04 12_38_17.294265;0.782965362071991;0.010430665686727;0.000013334004507;0.000036067456676;0.000002949903546;0.758289158344269;0.000016024356228;1. Against immigration, migrants, foreigners, refugees, or Muslims.
